route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
390,72969,297,Westbound Pittsburg-Bay Point BART,0,101,16,,,
390,72969,306,Westbound Pittsburg-Bay Point BART,0,102,16,,,
390,72969,78,Westbound Pittsburg-Bay Point BART,0,118,16,,,
390,72969,183,Westbound Pittsburg-Bay Point BART,0,130,16,,,
390,72969,124,Westbound Pittsburg-Bay Point BART,0,121,16,,,
390,72969,336,Eastbound Antioch BART,1,105,7,,,
390,72969,209,Eastbound Antioch BART,1,133,7,,,
390,72969,295,Eastbound Antioch BART,1,147,7,,,
390,72969,39,Eastbound Antioch BART,1,113,7,,,
394,72970,1175,Westbound Pittsburg-Bay Point BART,0,206,74,,,
394,72971,2973,Westbound Pittsburg-Bay Point BART,0,301,74,,,
394,72970,2876,Westbound Pittsburg-Bay Point BART,0,205,74,,,
394,72971,2991,Westbound Pittsburg-Bay Point BART,0,304,74,,,
394,72970,2864,Westbound Pittsburg-Bay Point BART,0,204,74,,,
394,72971,3014,Westbound Pittsburg-Bay Point BART,0,306,74,,,
394,72970,2851,Westbound Pittsburg-Bay Point BART,0,202,74,,,
394,72971,2974,Westbound Pittsburg-Bay Point BART,0,301,74,,,
394,72970,2896,Westbound Pittsburg-Bay Point BART,0,207,74,,,
394,72971,3049,Westbound Pittsburg-Bay Point BART,0,310,74,,,
394,72970,2928,Westbound Pittsburg-Bay Point BART,0,212,74,,,
394,72971,3059,Westbound Pittsburg-Bay Point BART,0,311,74,,,
394,72970,2910,Westbound Pittsburg-Bay Point BART,0,209,74,,,
394,72971,2976,Westbound Pittsburg-Bay Point BART,0,301,74,,,
394,72970,2881,Westbound Pittsburg-Bay Point BART,0,205,74,,,
394,72971,3036,Westbound Pittsburg-Bay Point BART,0,308,74,,,
394,72970,2869,Westbound Pittsburg-Bay Point BART,0,204,74,,,
394,72971,3061,Westbound Pittsburg-Bay Point BART,0,311,74,,,
394,72970,2955,Westbound Pittsburg-Bay Point BART,0,217,74,,,
394,72971,2978,Westbound Pittsburg-Bay Point BART,0,301,74,,,
394,72970,2967,Westbound Pittsburg-Bay Point BART,0,219,74,,,
394,72971,3073,Westbound Pittsburg-Bay Point BART,0,312,74,,,
394,72970,2894,Westbound Pittsburg-Bay Point BART,0,206,74,,,
394,72971,3054,Westbound Pittsburg-Bay Point BART,0,310,74,,,
394,72970,2908,Eastbound Antioch BART,1,209,68,,,
394,72971,3013,Eastbound Antioch BART,1,306,68,,,
394,72970,2850,Eastbound Antioch BART,1,202,68,,,
394,72971,1712,Eastbound Antioch BART,1,301,68,,,
394,72970,2100,Eastbound Antioch BART,1,207,68,,,
394,72971,3032,Eastbound Antioch BART,1,308,68,,,
394,72970,2150,Eastbound Antioch BART,1,212,68,,,
394,72971,3058,Eastbound Antioch BART,1,311,68,,,
394,72970,2909,Eastbound Antioch BART,1,209,68,,,
394,72971,2975,Eastbound Antioch BART,1,301,68,,,
394,72970,2903,Eastbound Antioch BART,1,208,68,,,
394,72971,3076,Eastbound Antioch BART,1,313,68,,,
394,72970,2923,Eastbound Antioch BART,1,211,68,,,
394,72971,3060,Eastbound Antioch BART,1,311,68,,,
394,72970,2936,Eastbound Antioch BART,1,213,68,,,
394,72971,2977,Eastbound Antioch BART,1,301,68,,,
394,72970,2943,Eastbound Antioch BART,1,215,68,,,
394,72971,3045,Eastbound Antioch BART,1,309,68,,,
